Season,gmDate,playLNm,playFNm,teamAbbr,teamConf,East_West,teamDiv,teamLoc,teamRslt,Wins,Game_count,teamDayOff,playDispNm,playStat,playMin,playPos,playHeight,playWeight,playBDate,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFG%,play2PA,play2PM,play2P%,play3PA,play3PM,play3P%,playFTA,playFTM,playFT%,playORB,playDRB,playTRB,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt
2017,10/26/16,Ilyasova,Ersan,OKC,West,1,Northwest,Away,Win,1,1,0,Ersan Ilyasova,Bench,20,PF,81,235,5/15/87,10,1,0,1,0,1,7,4,0.5714,2,2,1,5,2,0.4,0,0,0,1,4,5,PHI,East,Atlantic,Home,Loss
2017,10/26/16,Christon,Semaj,OKC,West,1,Northwest,Away,Win,1,1,0,Semaj Christon,Bench,15,PG,75,190,11/1/92,4,4,0,0,0,1,5,2,0.4,4,2,0.5,1,0,0,0,0,0,0,1,1,PHI,East,Atlantic,Home,Loss
2017,10/26/16,Abrines,Alejandro,OKC,West,1,Northwest,Away,Win,1,1,0,Álex Abrines,Bench,13,SG,78,190,8/1/93,3,0,2,0,0,3,2,1,0.5,1,0,0,1,1,1,0,0,0,0,1,1,PHI,East,Atlantic,Home,Loss
2017,10/26/16,Covington,Robert,PHI,East,0,Atlantic,Home,Loss,0,1,0,Robert Covington,Starter,32,SF,81,215,12/14/90,10,2,0,2,1,1,6,3,0.5,2,1,0.5,4,2,0.5,2,2,1,1,4,5,OKC,West,Northwest,Away,Win
2017,10/26/16,Rodriguez,Sergio,PHI,East,0,Atlantic,Home,Loss,0,1,0,Sergio Rodriguez,Starter,32,PG,75,168,6/12/86,12,9,0,0,0,1,11,5,0.4545,5,3,0.6,6,2,0.3333,0,0,0,0,4,4,OKC,West,Northwest,Away,Win
2017,10/26/16,Saric,Dario,PHI,East,0,Atlantic,Home,Loss,0,1,0,Dario Saric,Starter,27,SF,82,223,4/8/94,5,2,2,0,0,3,12,2,0.1667,8,2,0.25,4,0,0,2,1,0.5,1,6,7,OKC,West,Northwest,Away,Win
2017,10/26/16,Henderson,Gerald,PHI,East,0,Atlantic,Home,Loss,0,1,0,Gerald Henderson,Starter,25,SG,76,215,12/9/87,9,0,0,0,0,2,6,3,0.5,3,1,0.3333,3,2,0.6667,2,1,0.5,0,2,2,OKC,West,Northwest,Away,Win
2017,10/26/16,Embiid,Joel,PHI,East,0,Atlantic,Home,Loss,0,1,0,Joel Embiid,Starter,22,C,84,250,3/16/94,20,0,4,0,2,4,16,6,0.375,13,5,0.3846,3,1,0.3333,8,7,0.875,0,7,7,OKC,West,Northwest,Away,Win
2017,10/26/16,Stauskas,Nikolas,PHI,East,0,Atlantic,Home,Loss,0,1,0,Nik Stauskas,Bench,23,SG,78,205,10/7/93,13,1,0,0,0,0,6,5,0.8333,5,5,1,1,0,0,3,3,1,0,4,4,OKC,West,Northwest,Away,Win
2017,10/26/16,Grant,Houston,PHI,East,0,Atlantic,Home,Loss,0,1,0,Jerami Grant,Bench,22,SF,80,210,3/12/94,10,0,2,0,2,2,10,4,0.4,9,4,0.4444,1,0,0,4,2,0.5,0,4,4,OKC,West,Northwest,Away,Win
2017,10/26/16,Okafor,Jahlil,PHI,East,0,Atlantic,Home,Loss,0,1,0,Jahlil Okafor,Bench,16,C,83,275,12/15/95,8,0,3,0,1,2,10,4,0.4,10,4,0.4,0,0,0,0,0,0,1,2,3,OKC,West,Northwest,Away,Win
2017,10/26/16,McConnell,Timothy,PHI,East,0,Atlantic,Home,Loss,0,1,0,T.J. McConnell,Bench,16,PG,74,200,3/25/92,0,7,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,OKC,West,Northwest,Away,Win
2017,10/26/16,Thompson,Keith,PHI,East,0,Atlantic,Home,Loss,0,1,0,Hollis Thompson,Bench,13,SG,80,206,4/3/91,4,0,0,1,1,1,5,2,0.4,3,2,0.6667,2,0,0,2,0,0,1,1,2,OKC,West,Northwest,Away,Win
2017,10/26/16,Holmes,Richaun,PHI,East,0,Atlantic,Home,Loss,0,1,0,Richaun Holmes,Bench,12,PF,81,240,10/15/93,6,0,1,0,3,3,2,2,1,2,2,1,0,0,0,2,2,1,1,2,3,OKC,West,Northwest,Away,Win
2017,10/26/16,Lawson,Ty,SAC,West,1,Pacific,Away,Win,1,1,0,Ty Lawson,Starter,36,PG,71,195,11/3/87,9,7,2,2,1,2,9,3,0.3333,5,2,0.4,4,1,0.25,2,2,1,3,3,6,PHO,West,Pacific,Home,Loss
2017,10/26/16,Gay,Rudy,SAC,West,1,Pacific,Away,Win,1,1,0,Rudy Gay,Starter,33,SF,81,220,8/17/86,22,2,0,0,4,1,15,9,0.6,12,8,0.6667,3,1,0.3333,4,3,0.75,0,3,3,PHO,West,Pacific,Home,Loss
2017,10/26/16,Afflalo,Arron,SAC,West,1,Pacific,Away,Win,1,1,0,Arron Afflalo,Starter,26,SG,77,215,10/15/85,8,0,0,1,0,3,7,2,0.2857,5,0,0,2,2,1,2,2,1,0,3,3,PHO,West,Pacific,Home,Loss
